1,3.78,2076,GC,6/07/2012,0.056,0.105,0.289,0.103,0.043,0.159,0.7,0.939,0.06,0.141,0.669,0.149,0.25,0.077,0.181,0.302,0.501,0.06,0.131,0.088,0.196,1.555,1.526,0.564,0.085,0.087,0.31,0.1,0.049,0.104,0.043,0.34,0.805,1.913,1.931,1.85,1.17,0.213,0.281,0.455,0.24,0.221,0.266,0.447,0.811,0.782,0.256,0.187,
1,3.78,2076,GG,6/07/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.119,0.2,0.331,0.406,0.631,0.813,0.725,0.338,0.463,0.344,0.531,0.756,1.013,0.844,0.675,0.313,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,3.78,2076,CL,7/07/2012,1.231,1.25,1.244,1.213,0,1.131,0.256,0,0.188,0.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.081,
1,3.78,2076,GC,7/07/2012,0.497,0.203,0.107,0.058,0.09,0.372,0.728,0.679,0.057,0.157,0.88,0.098,0.043,0.129,0.047,0.479,0.424,0.108,0.09,0.292,0.159,0.078,0.101,0.047,0.347,0.057,0.35,0.362,0.137,0.154,0.204,0.368,0.184,0.191,0.228,0.242,0.607,0.56,0.398,0.292,0.305,0.514,0.211,0.31,0.771,0.647,0.419,0.196,
1,3.78,2076,GG,7/07/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.075,0.1,0.206,0.263,0.338,0.544,0.738,0.794,0.944,0.906,0.888,0.538,0.444,0.3,0.3,0.288,0.1,0.031,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,3.78,2076,CL,8/07/2012,1.231,1.238,1.244,1.044,0.013,1.194,0,0,0.969,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.081,
1,3.78,2076,GC,8/07/2012,0.171,0.253,0.148,0.441,0.154,0.22,0.8,0.635,0.385,0.109,0.708,0.061,0.199,1.084,0.534,0.533,0.247,0.721,0.071,0.148,0.074,0.126,0.342,0.094,0.097,0.103,0.111,0.389,0.128,0.363,0.166,0.073,0.217,0.415,0.256,0.216,0.831,0.751,1.376,0.319,0.295,0.311,0.231,0.516,0.313,1.286,0.254,0.2,
1,3.78,2076,GG,8/07/2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.044,0.056,0.2,0.481,0.656,0.756,0.694,0.263,0.45,0.775,0.875,1.338,0.381,0.488,0.331,0.225,0.069,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,3.78,2076,CL,9/07/2012,1.25,1.263,1.263,1.256,0.431,0.725,0.556,0,0.938,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.088,
1,3.78,2076,GC,9/07/2012,0.517,0.19,0.285,0.19,0.268,0.51,1.122,0.698,0.099,0.137,0.912,0.849,0.658,0.255,0.326,0.07,0.086,0.078,0.243,0.899,0.097,0.256,0.174,0.225,0.431,0.357,0.137,0.271,0.393,0.625,1.293,0.907,0.732,1.192,0.258,0.605,0.996,0.166,0.322,0.204,0.529,0.346,0.589,0.087,0.229,1.598,1.255,0.991,
